,comments
0,Casually scoring two goals for his country :) Brilliant performance as alwyas
1,"<a href=""https://www.youtube.com/watch?v=C6sVGS5NJG8&amp;t=2m25s"">2:25</a> deixou o cara duas vezes no chão"
2,Mausi chi gaand.....what a goal 🎉🎉
3,Messi🔥🔥🔥🔥🔥🔥🔥🔥
4,"Claro , sin pitarle penal ,por mano en el area, roja por falta al ultimo hombre de Peru, Codazos que no ve el arbitro ///ASI CUALQUIERA gana"
5,"<a href=""https://www.youtube.com/watch?v=C6sVGS5NJG8&amp;t=2m27s"">2:27</a>"
6,This mans immortal <br>What natural talent !!!
7,Messi just clobbered my paternal country
8,Today is lionel messi match.. ❤ the GOAT from india
9,"<a href=""https://www.youtube.com/watch?v=C6sVGS5NJG8&amp;t=2m26s"">2:26</a> The foot control!! MESSI"
10,The finish on the first goal has no right looking that effortless 😮 the cross was actually coming at him with some real speed
11,G.O.A.T
12,Can someone explain me what is this dude doing in Miami ?he can still be top 10 in the world!
13,La meilleure  Équipe  de la planète  foot  en ce moment  quelle  joie  ça  me procure  Fan de L&#39;argentine  Elle est belle  Cette  Équipe  ❤❤❤ Étoiles  Vamos
14,Im Brazilian but im happy for Argentina 🙂<br><br>3 stars on shirt at last Argentina... ❤ Leo is history
15,His vision makes us feels like we are watching Play Station Football game.
16,"QUIEN SIGUE SIENDO EL REY?? QUIEN SIGUE SIENDO EL NUMERO 1 DEL PLANETA?? QUIEN ES EL MEJOR DE TODOS LOS TIEMPOS Y CADA AÑOS MEJORA MÁS??? EL ÚNICO, EL AMO Y SEÑOR DEL FUTBOL DON LEO MESSI...."
17,The time is running fast and this guy is still impossible to describe. Will we see him in WC 2026?...
18,Impresionante
19,Nuevo récord del GOAT 🐐 máximo Goleador de las eliminatoria de Sur América ⚽️ 🇦🇷👏👏
20,"After Messi entered the field, there was no question of losing. Messi shows magic, not the game. That&#39;s why Messi is always successful in staying in everyone&#39;s heart."
21,Genius
22,cant tell if its a volley or half volley...its like right on the border
23,2 chutes - 2 gols
24,A red captain band is kinda a weird choice for an Argentina team…
25,oh my god  messi is messi❤️👌
26,"Minuto <a href=""https://www.youtube.com/watch?v=C6sVGS5NJG8&amp;t=2m25s"">2:25</a> , lo mejor los brazos de Scaloni 😂😂"
27,he still has it literally overpowered
28,"Esse homem não pode ficar 6 meses sem jogar, é o melhor de todos os tempos."
29,🇵🇹🐐
30,Ball control on the first goal... Incredible.
31,That first finish is incredible. Just used the pace of the ball across to place it with power and out of reach of the keeper. Also hit it perfectly timed on the bounce
32,Believe me he can win them another WC for sure if he plays at his level for another 3 years :))
